( -1.699  1.101  0.501 )
( -1.699  1.201  0.501 )
( -1.699  1.301  0.501 )
( -1.699  1.401  0.501 )
( -1.699  1.501  0.501 )
( -1.699  1.601  0.501 )
( -1.699  1.701  0.501 )
( -1.699  1.801  0.501 )
( -1.699  1.901  0.501 )
( -1.699  2.001  0.501 )
( -1.699  2.101  0.501 )
( -1.699  2.201  0.501 )
( -1.699  2.301  0.501 )
( -1.699  2.401  0.501 )
( -1.699  2.501  0.501 )
( -1.699  2.601  0.501 )
( -1.699  2.701  0.501 )
( -1.699  2.801  0.501 )
( -1.699  2.901  0.501 )
( -1.699  2.999  0.501 )
( -1.599  -0.999  0.501 )
( -1.599  -0.899  0.501 )
( -1.599  -0.799  0.501 )
( -1.599  -0.699  0.501 )
( -1.599  -0.599  0.501 )
( -1.599  -0.499  0.501 )
( -1.599  -0.399  0.501 )
( -1.599  -0.299  0.501 )
( -1.599  -0.199  0.501 )
( -1.599  -0.099  0.501 )
( -1.599  0.001  0.501 )
( -1.599  0.101  0.501 )
( -1.599  0.201  0.501 )
( -1.599  0.301  0.501 )
( -1.599  0.401  0.501 )
( -1.599  0.501  0.501 )
( -1.599  0.601  0.501 )
( -1.599  0.701  0.501 )
( -1.599  0.801  0.501 )
( -1.599  0.901  0.501 )
( -1.599  1.001  0.501 )
( -1.599  1.101  0.501 )
( -1.599  1.201  0.501 )
( -1.599  1.301  0.501 )
( -1.599  1.401  0.501 )
( -1.599  1.501  0.501 )
( -1.599  1.601  0.501 )
( -1.599  1.701  0.501 )
( -1.599  1.801  0.501 )
( -1.599  1.901  0.501 )
( -1.599  2.001  0.501 )
( -1.599  2.101  0.501 )
( -1.599  2.201  0.501 )
( -1.599  2.301  0.501 )
( -1.599  2.401  0.501 )
( -1.599  2.501  0.501 )
( -1.599  2.601  0.501 )
( -1.599  2.701  0.501 )
( -1.599  2.801  0.501 )
( -1.599  2.901  0.501 )
( -1.599  2.999  0.501 )
( -1.499  -0.999  0.501 )
( -1.499  -0.899  0.501 )
( -1.499  -0.799  0.501 )
( -1.499  -0.699  0.501 )
( -1.499  -0.599  0.501 )
( -1.499  -0.499  0.501 )
( -1.499  -0.399  0.501 )
( -1.499  -0.299  0.501 )
( -1.499  -0.199  0.501 )
( -1.499  -0.099  0.501 )
( -1.499  0.001  0.501 )
( -1.499  0.101  0.501 )
( -1.499  0.201  0.501 )
( -1.499  0.301  0.501 )
( -1.499  0.401  0.501 )
( -1.499  0.501  0.501 )
( -1.499  0.601  0.501 )
( -1.499  0.701  0.501 )
( -1.499  0.801  0.501 )
( -1.499  0.901  0.501 )
( -1.499  1.001  0.501 )
( -1.499  1.101  0.501 )
( -1.499  1.201  0.501 )
( -1.499  1.301  0.501 )
( -1.499  1.401  0.501 )
( -1.499  1.501  0.501 )
( -1.499  1.601  0.501 )
( -1.499  1.701  0.501 )
( -1.499  1.801  0.501 )
( -1.499  1.901  0.501 )
( -1.499  2.001  0.501 )
( -1.499  2.101  0.501 )
( -1.499  2.201  0.501 )
( -1.499  2.301  0.501 )
( -1.499  2.401  0.501 )
( -1.499  2.501  0.501 )
( -1.499  2.601  0.501 )
( -1.499  2.701  0.501 )
( -1.499  2.801  0.501 )
( -1.499  2.901  0.501 )
( -1.499  2.999  0.501 )
( -1.399  -0.999  0.501 )
( -1.399  -0.899  0.501 )
( -1.399  -0.799  0.501 )
( -1.399  -0.699  0.501 )
( -1.399  -0.599  0.501 )
( -1.399  -0.499  0.501 )
( -1.399  -0.399  0.501 )
( -1.399  -0.299  0.501 )
( -1.399  -0.199  0.501 )
( -1.399  -0.099  0.501 )
( -1.399  0.001  0.501 )
( -1.399  0.101  0.501 )
( -1.399  0.201  0.501 )
( -1.399  0.301  0.501 )
( -1.399  0.401  0.501 )
( -1.399  0.501  0.501 )
( -1.399  0.601  0.501 )
( -1.399  0.701  0.501 )
( -1.399  0.801  0.501 )
( -1.399  0.901  0.501 )
( -1.399  1.001  0.501 )
( -1.399  1.101  0.501 )
( -1.399  1.201  0.501 )
( -1.399  1.301  0.501 )
( -1.399  1.401  0.501 )
( -1.399  1.501  0.501 )
( -1.399  1.601  0.501 )
( -1.399  1.701  0.501 )
( -1.399  1.801  0.501 )
( -1.399  1.901  0.501 )
( -1.399  2.001  0.501 )
( -1.399  2.101  0.501 )
( -1.399  2.201  0.501 )
( -1.399  2.301  0.501 )
( -1.399  2.401  0.501 )
( -1.399  2.501  0.501 )
( -1.399  2.601  0.501 )
( -1.399  2.701  0.501 )
( -1.399  2.801  0.501 )
( -1.399  2.901  0.501 )
( -1.399  2.999  0.501 )
( -1.299  -0.999  0.501 )
( -1.299  -0.899  0.501 )
( -1.299  -0.799  0.501 )
( -1.299  -0.699  0.501 )
( -1.299  -0.599  0.501 )
( -1.299  -0.499  0.501 )
( -1.299  -0.399  0.501 )
( -1.299  -0.299  0.501 )
( -1.299  -0.199  0.501 )
( -1.299  -0.099  0.501 )
( -1.299  0.001  0.501 )
( -1.299  0.101  0.501 )
( -1.299  0.201  0.501 )
( -1.299  0.301  0.501 )
( -1.299  0.401  0.501 )
( -1.299  0.501  0.501 )
( -1.299  0.601  0.501 )
( -1.299  0.701  0.501 )
( -1.299  0.801  0.501 )
( -1.299  0.901  0.501 )
( -1.299  1.001  0.501 )
( -1.299  1.101  0.501 )
( -1.299  1.201  0.501 )
( -1.299  1.301  0.501 )
( -1.299  1.401  0.501 )
( -1.299  1.501  0.501 )
( -1.299  1.601  0.501 )
( -1.299  1.701  0.501 )
( -1.299  1.801  0.501 )
( -1.299  1.901  0.501 )
( -1.299  2.001  0.501 )
( -1.299  2.101  0.501 )
( -1.299  2.201  0.501 )
( -1.299  2.301  0.501 )
( -1.299  2.401  0.501 )
( -1.299  2.501  0.501 )
( -1.299  2.601  0.501 )
( -1.299  2.701  0.501 )
